	sequences per sample	iteration	K3.H	K3.Z	M2.Middle.L	K3.A	K3.V	K3.K	K3.B	K3.C	M2.Thumb.L	M2.Pinky.L	K3.E	M2.Middle.R	M3.Pinky.L	K1.Space	K1.N	K1.Shift.R	M3.Pinky.R	K3.Enter	K3.U	K3.Q	K3.Space	K1.Y	M2.Index.R	K3.G	K1.G	M3.Thumb.R	K1.R	K1.M	K3.J	K3.Y	K3.T	M2.Ring.R	K1.W	K1.T	M3.Middle.L	K3.I	M3.Ring.R	K1.B	K2.G	K3.W	K3.M	K2.B	K1.P	K2.N	M3.Index.R	K3.L	K3.F	K1.L	K1.H	K1.V	K2.Enter	M3.Ring.L	K1.C	K3.O	K2.F	M9.Middle.R	M9.Ring.R	M9.Thumb.L	K1.Q	K2.Y	M3.Middle.R	M9.Thumb.R	M3.Thumb.L	M2.Pinky.R	K3.Shift.R	K3.Shift.L	K2.E	M9.Pinky.R	K1.X	M9.Ring.L	K2.S	K2.H	K1.E	M2.Thumb.R	M2.Ring.L	K2.C	M9.Index.R	M2.Index.L	K2.V	K2.O	M9.Index.L	K2.W	K2.D	M3.Index.L	M9.Pinky.L	K3.S	K3.D	K2.X	K2.A	K2.P	M9.Middle.L	K2.M
alpha_rarefaction_48_0.txt	48	0	28.0	33.0	21.0	33.0	28.0	24.0	27.0	33.0	21.0	23.0	31.0	29.0	19.0	12.0	7.0	22.0	14.0	32.0	27.0	38.0	32.0	13.0	25.0	28.0	11.0	11.0	11.0	13.0	25.0	26.0	23.0	24.0	9.0	15.0	9.0	33.0	15.0	17.0	7.0	25.0	19.0	9.0	14.0	11.0	18.0	26.0	34.0	17.0	15.0	10.0	10.0	5.0	9.0	24.0	11.0	15.0	10.0	14.0	11.0	11.0	16.0	13.0	6.0	20.0	32.0	26.0	8.0	10.0	8.0	11.0	11.0	9.0	8.0	25.0	18.0	9.0	10.0	25.0	9.0	10.0	4.0	6.0	6.0	7.0	8.0	23.0	26.0	9.0	15.0	7.0	5.0	13.0
alpha_rarefaction_48_1.txt	48	1	27.0	30.0	18.0	30.0	28.0	21.0	28.0	31.0	26.0	26.0	30.0	26.0	21.0	10.0	7.0	12.0	12.0	32.0	25.0	35.0	35.0	15.0	28.0	25.0	11.0	13.0	12.0	14.0	27.0	27.0	26.0	24.0	8.0	13.0	10.0	32.0	15.0	10.0	11.0	32.0	24.0	10.0	12.0	13.0	17.0	28.0	30.0	11.0	10.0	9.0	13.0	8.0	5.0	25.0	11.0	4.0	6.0	14.0	14.0	12.0	18.0	16.0	6.0	25.0	27.0	29.0	6.0	9.0	9.0	13.0	8.0	4.0	10.0	29.0	14.0	6.0	5.0	20.0	12.0	13.0	10.0	6.0	7.0	7.0	14.0	27.0	26.0	7.0	12.0	7.0	7.0	14.0
alpha_rarefaction_48_2.txt	48	2	27.0	26.0	22.0	32.0	31.0	22.0	26.0	32.0	24.0	28.0	31.0	25.0	18.0	16.0	10.0	15.0	17.0	23.0	24.0	34.0	26.0	7.0	29.0	24.0	6.0	14.0	13.0	12.0	28.0	30.0	23.0	20.0	13.0	13.0	12.0	33.0	15.0	8.0	6.0	24.0	21.0	15.0	10.0	11.0	14.0	30.0	31.0	12.0	10.0	9.0	10.0	7.0	6.0	17.0	15.0	9.0	9.0	10.0	14.0	13.0	19.0	10.0	8.0	23.0	30.0	24.0	9.0	12.0	9.0	14.0	7.0	11.0	7.0	23.0	18.0	8.0	11.0	25.0	11.0	9.0	9.0	6.0	11.0	14.0	12.0	27.0	33.0	9.0	10.0	10.0	11.0	9.0
alpha_rarefaction_48_3.txt	48	3	30.0	30.0	23.0	32.0	30.0	18.0	26.0	35.0	26.0	23.0	30.0	28.0	13.0	11.0	10.0	17.0	13.0	29.0	21.0	36.0	35.0	10.0	27.0	27.0	14.0	12.0	13.0	13.0	30.0	25.0	27.0	26.0	10.0	12.0	12.0	32.0	15.0	12.0	8.0	31.0	23.0	10.0	11.0	11.0	15.0	26.0	27.0	11.0	9.0	9.0	6.0	8.0	6.0	23.0	13.0	10.0	7.0	14.0	15.0	8.0	19.0	10.0	9.0	23.0	30.0	21.0	9.0	8.0	8.0	10.0	8.0	9.0	13.0	26.0	16.0	10.0	6.0	25.0	13.0	11.0	7.0	6.0	4.0	14.0	10.0	30.0	29.0	9.0	9.0	9.0	6.0	14.0
alpha_rarefaction_48_4.txt	48	4	28.0	34.0	25.0	25.0	26.0	18.0	34.0	32.0	20.0	26.0	28.0	25.0	20.0	11.0	9.0	21.0	15.0	31.0	23.0	37.0	34.0	14.0	22.0	27.0	13.0	9.0	14.0	13.0	27.0	28.0	26.0	22.0	11.0	6.0	9.0	34.0	16.0	12.0	8.0	24.0	23.0	12.0	10.0	7.0	18.0	28.0	30.0	14.0	11.0	7.0	14.0	8.0	5.0	24.0	15.0	7.0	10.0	10.0	12.0	12.0	19.0	13.0	6.0	24.0	26.0	25.0	10.0	12.0	9.0	7.0	11.0	10.0	6.0	24.0	15.0	5.0	9.0	22.0	11.0	7.0	5.0	3.0	9.0	8.0	13.0	24.0	27.0	6.0	9.0	9.0	10.0	9.0
alpha_rarefaction_48_5.txt	48	5	23.0	34.0	18.0	27.0	32.0	17.0	26.0	33.0	24.0	26.0	35.0	25.0	15.0	12.0	12.0	15.0	10.0	27.0	26.0	32.0	34.0	11.0	30.0	27.0	9.0	15.0	15.0	13.0	27.0	28.0	24.0	23.0	7.0	10.0	12.0	29.0	18.0	11.0	9.0	26.0	20.0	14.0	15.0	10.0	13.0	28.0	31.0	16.0	13.0	8.0	11.0	4.0	5.0	23.0	7.0	5.0	7.0	10.0	17.0	8.0	17.0	16.0	6.0	20.0	26.0	23.0	8.0	13.0	9.0	9.0	8.0	5.0	9.0	25.0	15.0	6.0	8.0	24.0	14.0	9.0	5.0	6.0	7.0	12.0	13.0	23.0	27.0	8.0	14.0	12.0	7.0	9.0
alpha_rarefaction_48_6.txt	48	6	28.0	31.0	21.0	29.0	30.0	17.0	27.0	32.0	27.0	23.0	31.0	26.0	16.0	14.0	12.0	17.0	18.0	28.0	27.0	37.0	36.0	10.0	26.0	30.0	7.0	13.0	15.0	14.0	25.0	23.0	29.0	24.0	12.0	12.0	12.0	34.0	15.0	13.0	12.0	24.0	20.0	14.0	16.0	8.0	17.0	25.0	29.0	15.0	9.0	8.0	10.0	8.0	9.0	24.0	11.0	6.0	7.0	11.0	13.0	9.0	12.0	18.0	12.0	24.0	26.0	26.0	12.0	13.0	13.0	8.0	8.0	6.0	10.0	25.0	16.0	6.0	7.0	21.0	11.0	10.0	6.0	4.0	7.0	11.0	12.0	28.0	27.0	5.0	7.0	11.0	6.0	8.0
alpha_rarefaction_48_7.txt	48	7	29.0	33.0	25.0	28.0	29.0	21.0	26.0	34.0	26.0	20.0	26.0	23.0	19.0	10.0	10.0	17.0	11.0	25.0	22.0	40.0	34.0	12.0	26.0	26.0	12.0	14.0	16.0	11.0	32.0	23.0	25.0	23.0	10.0	13.0	10.0	30.0	19.0	12.0	11.0	29.0	21.0	14.0	12.0	11.0	17.0	25.0	26.0	18.0	10.0	8.0	12.0	6.0	9.0	23.0	10.0	6.0	9.0	15.0	13.0	10.0	16.0	13.0	7.0	23.0	22.0	25.0	10.0	11.0	13.0	13.0	7.0	9.0	9.0	26.0	16.0	8.0	7.0	25.0	10.0	10.0	4.0	8.0	7.0	12.0	11.0	24.0	29.0	9.0	13.0	9.0	10.0	9.0
alpha_rarefaction_48_8.txt	48	8	23.0	30.0	19.0	34.0	31.0	21.0	28.0	32.0	26.0	25.0	27.0	26.0	20.0	10.0	12.0	20.0	16.0	25.0	29.0	33.0	41.0	13.0	22.0	27.0	10.0	9.0	17.0	13.0	30.0	22.0	23.0	20.0	11.0	8.0	13.0	34.0	14.0	10.0	9.0	27.0	22.0	11.0	14.0	6.0	10.0	29.0	30.0	15.0	7.0	8.0	9.0	9.0	8.0	26.0	12.0	7.0	6.0	10.0	12.0	8.0	19.0	12.0	9.0	20.0	23.0	21.0	9.0	10.0	7.0	10.0	9.0	9.0	8.0	22.0	16.0	6.0	6.0	22.0	13.0	10.0	5.0	4.0	9.0	11.0	10.0	25.0	31.0	8.0	18.0	11.0	10.0	11.0
alpha_rarefaction_48_9.txt	48	9	22.0	30.0	17.0	26.0	27.0	19.0	26.0	29.0	19.0	25.0	27.0	28.0	15.0	11.0	11.0	15.0	15.0	22.0	27.0	37.0	35.0	7.0	29.0	29.0	10.0	12.0	15.0	18.0	26.0	29.0	26.0	25.0	11.0	8.0	11.0	30.0	17.0	11.0	8.0	29.0	22.0	11.0	11.0	6.0	12.0	24.0	28.0	16.0	8.0	10.0	8.0	10.0	6.0	20.0	9.0	8.0	10.0	8.0	15.0	6.0	17.0	12.0	13.0	26.0	29.0	24.0	6.0	9.0	5.0	11.0	10.0	7.0	10.0	28.0	20.0	10.0	9.0	25.0	10.0	6.0	5.0	6.0	7.0	16.0	8.0	25.0	33.0	9.0	12.0	12.0	9.0	14.0
